source,split,filename,image_path,true_style,type,label_formal,label_gothic,label_sporty,label_streetwear,predicted_main_style,predicted_styles_threshold_fallback,predicted_label_count,score_formal,score_gothic,score_sporty,score_streetwear,top1_correct,evaluation_id
real_world_test,real_world_test,formal_jacket_rw_003.png,..\dataset\real_world_test\formal\jacket\formal_jacket_rw_003.png,formal,jacket,1,0,0,0,streetwear,formal + streetwear,2,0.36635002,0.21284845,0.2574126,0.41432232,False,eval_01
real_world_test,real_world_test,formal_tshirt_rw_002.png,..\dataset\real_world_test\formal\tshirt\formal_tshirt_rw_002.png,formal,tshirt,1,0,0,0,streetwear,formal + streetwear,2,0.45968598,0.06339898,0.31864747,0.56944704,False,eval_02
real_world_test,real_world_test,formal_tshirt_rw_003.png,..\dataset\real_world_test\formal\tshirt\formal_tshirt_rw_003.png,formal,tshirt,1,0,0,0,streetwear,sporty + streetwear,2,0.3388942,0.06558917,0.4088034,0.61504406,False,eval_03
real_world_test,real_world_test,formal_tshirt_rw_005.png,..\dataset\real_world_test\formal\tshirt\formal_tshirt_rw_005.png,formal,tshirt,1,0,0,0,streetwear,sporty + streetwear,2,0.17386535,0.043938953,0.364971,0.46446198,False,eval_04
real_world_test,real_world_test,gothic_shoes_rw_002.png,..\dataset\real_world_test\gothic\shoes\gothic_shoes_rw_002.png,gothic,shoes,0,1,0,0,streetwear,gothic + sporty + streetwear,3,0.049041405,0.46708387,0.3674708,0.69586575,False,eval_05
real_world_test,real_world_test,gothic_jacket_rw_005.png,..\dataset\real_world_test\gothic\jacket\gothic_jacket_rw_005.png,gothic,jacket,0,1,0,0,gothic,formal + gothic,2,0.36899117,0.6724524,0.088084444,0.23341006,True,eval_06
real_world_test,real_world_test,gothic_pants_rw_001.png,..\dataset\real_world_test\gothic\pants\gothic_pants_rw_001.png,gothic,pants,0,1,0,0,gothic,gothic + streetwear,2,0.13071796,0.43253878,0.060562264,0.35400778,True,eval_07
real_world_test,real_world_test,gothic_pants_rw_005.png,..\dataset\real_world_test\gothic\pants\gothic_pants_rw_005.png,gothic,pants,0,1,0,0,gothic,gothic + streetwear,2,0.06360052,0.47250873,0.06941522,0.3680367,True,eval_08
real_world_test,real_world_test,sporty_tshirt_rw_003.png,..\dataset\real_world_test\sporty\tshirt\sporty_tshirt_rw_003.png,sporty,tshirt,0,0,1,0,streetwear,formal + sporty + streetwear,3,0.4187467,0.18951222,0.39058945,0.71410877,False,eval_09
real_world_test,real_world_test,sporty_jacket_rw_004.png,..\dataset\real_world_test\sporty\jacket\sporty_jacket_rw_004.png,sporty,jacket,0,0,1,0,formal,formal + sporty,2,0.4700326,0.277454,0.4678128,0.20879382,False,eval_10
real_world_test,real_world_test,sporty_jacket_rw_005.png,..\dataset\real_world_test\sporty\jacket\sporty_jacket_rw_005.png,sporty,jacket,0,0,1,0,formal,formal + sporty,2,0.49833703,0.070304655,0.46346843,0.048203267,False,eval_11
real_world_test,real_world_test,sporty_shoes_rw_003.png,..\dataset\real_world_test\sporty\shoes\sporty_shoes_rw_003.png,sporty,shoes,0,0,1,0,streetwear,sporty + streetwear,2,0.32249328,0.0141105885,0.3776781,0.65255785,False,eval_12
real_world_test,real_world_test,streetwear_jacket_rw_005.png,..\dataset\real_world_test\streetwear\jacket\streetwear_jacket_rw_005.png,streetwear,jacket,0,0,0,1,formal,formal + gothic,2,0.78359276,0.4937475,0.0930416,0.14200763,False,eval_13
real_world_test,real_world_test,streetwear_shoes_rw_002.png,..\dataset\real_world_test\streetwear\shoes\streetwear_shoes_rw_002.png,streetwear,shoes,0,0,0,1,sporty,sporty + streetwear,2,0.16200854,0.02917399,0.73650795,0.4446595,False,eval_14
real_world_test,real_world_test,streetwear_shoes_rw_005.png,..\dataset\real_world_test\streetwear\shoes\streetwear_shoes_rw_005.png,streetwear,shoes,0,0,0,1,gothic,gothic + streetwear,2,0.20070039,0.5653052,0.16396157,0.5225592,False,eval_15
real_world_test,real_world_test,streetwear_pants_rw_001.png,..\dataset\real_world_test\streetwear\pants\streetwear_pants_rw_001.png,streetwear,pants,0,0,0,1,streetwear,formal + streetwear,2,0.35640046,0.23007643,0.20635621,0.58431625,True,eval_16
