source,split,image_path,filename,true_style,true_label,type,predicted_style,predicted_label,top_confidence,second_style,second_confidence,confidence_margin,loss,correct,prob_formal,prob_gothic,prob_sporty,prob_streetwear,wrong_prediction,high_loss,low_margin,low_confidence,boundary_pair,candidate_for_manual_review
split_style_train,train,..\dataset\split_style\train\formal\jacket_formal_jacket_001.png,jacket_formal_jacket_001.png,formal,0,,formal,0,0.6590182781219482,sporty,0.2149220108985901,0.44409626722335815,0.4170040190219879,True,0.6590183,0.027543303,0.21492201,0.098516375,False,False,False,False,False,False
split_style_train,train,..\dataset\split_style\train\formal\jacket_formal_jacket_003.png,jacket_formal_jacket_003.png,formal,0,,formal,0,0.8654724955558777,streetwear,0.08063017576932907,0.7848423197865486,0.1444796472787857,True,0.8654725,0.0057825358,0.048114717,0.080630176,False,False,False,False,True,False
split_style_train,train,..\dataset\split_style\train\formal\jacket_formal_jacket_004.png,jacket_formal_jacket_004.png,formal,0,,formal,0,0.9180875420570374,sporty,0.039724092930555344,0.878363449126482,0.0854625403881073,True,0.91808754,0.015201296,0.039724093,0.026987052,False,False,False,False,False,False
split_style_train,train,..\dataset\split_style\train\formal\jacket_formal_jacket_005.png,jacket_formal_jacket_005.png,formal,0,,formal,0,0.9486240148544312,streetwear,0.025413986295461655,0.9232100285589695,0.052742768079042435,True,0.948624,0.007687233,0.018274896,0.025413986,False,False,False,False,True,False
split_style_train,train,..\dataset\split_style\train\formal\jacket_formal_jacket_006.png,jacket_formal_jacket_006.png,formal,0,,formal,0,0.9088256359100342,sporty,0.06173517554998398,0.8470904603600502,0.09560200572013855,True,0.90882564,0.012258193,0.061735176,0.017180905,False,False,False,False,False,False
split_style_train,train,..\dataset\split_style\train\formal\jacket_formal_jacket_010.png,jacket_formal_jacket_010.png,formal,0,,formal,0,0.6854040026664734,streetwear,0.26213350892066956,0.42327049374580383,0.3777468502521515,True,0.685404,0.013448599,0.039013885,0.2621335,False,False,False,False,True,False
split_style_train,train,..\dataset\split_style\train\formal\jacket_formal_jacket_011.png,jacket_formal_jacket_011.png,formal,0,,formal,0,0.5618914365768433,sporty,0.26792073249816895,0.2939707040786743,0.5764465928077698,True,0.56189144,0.14097184,0.26792073,0.029215975,False,False,False,True,False,False
split_style_train,train,..\dataset\split_style\train\formal\jacket_formal_jacket_013.png,jacket_formal_jacket_013.png,formal,0,,formal,0,0.36803537607192993,sporty,0.32389453053474426,0.04414084553718567,0.999576210975647,True,0.36803538,0.2298894,0.32389453,0.07818075,False,False,True,True,False,False
split_style_train,train,..\dataset\split_style\train\formal\jacket_formal_jacket_014.png,jacket_formal_jacket_014.png,formal,0,,formal,0,0.6594326496124268,sporty,0.20069393515586853,0.4587387144565582,0.41637539863586426,True,0.65943265,0.08409031,0.20069394,0.055783108,False,False,False,False,False,False
split_style_train,train,..\dataset\split_style\train\formal\jacket_formal_jacket_015.png,jacket_formal_jacket_015.png,formal,0,,streetwear,3,0.4563819468021393,formal,0.28355735540390015,0.17282459139823914,1.2603408098220825,False,0.28355736,0.24182636,0.018234286,0.45638195,True,True,True,True,True,True
split_style_train,train,..\dataset\split_style\train\formal\jacket_formal_jacket_016.png,jacket_formal_jacket_016.png,formal,0,,formal,0,0.687625527381897,streetwear,0.16245323419570923,0.5251722931861877,0.37451085448265076,True,0.6876255,0.069591284,0.08032993,0.16245323,False,False,False,False,True,False
split_style_train,train,..\dataset\split_style\train\formal\jacket_formal_jacket_017.png,jacket_formal_jacket_017.png,formal,0,,formal,0,0.40790027379989624,streetwear,0.29717445373535156,0.11072582006454468,0.8967325687408447,True,0.40790027,0.2051226,0.089802615,0.29717445,False,False,True,True,True,True
split_style_train,train,..\dataset\split_style\train\formal\jacket_formal_jacket_019.png,jacket_formal_jacket_019.png,formal,0,,formal,0,0.3350253701210022,streetwear,0.33105361461639404,0.003971755504608154,1.0935490131378174,True,0.33502537,0.276947,0.05697402,0.3310536,False,True,True,True,True,True
split_style_train,train,..\dataset\split_style\train\formal\jacket_formal_jacket_020.png,jacket_formal_jacket_020.png,formal,0,,formal,0,0.7744992971420288,sporty,0.10712482780218124,0.6673744693398476,0.2555385231971741,True,0.7744993,0.042159908,0.10712483,0.076215975,False,False,False,False,False,False
split_style_train,train,..\dataset\split_style\train\formal\jacket_formal_jacket_022.png,jacket_formal_jacket_022.png,formal,0,,formal,0,0.8777968883514404,sporty,0.07075877487659454,0.8070381134748459,0.13034005463123322,True,0.8777969,0.04197851,0.070758775,0.009465774,False,False,False,False,False,False
split_style_train,train,..\dataset\split_style\train\formal\jacket_formal_jacket_026.png,jacket_formal_jacket_026.png,formal,0,,formal,0,0.9155927896499634,sporty,0.05145707726478577,0.8641357123851776,0.08818356692790985,True,0.9155928,0.016428376,0.051457077,0.016521735,False,False,False,False,False,False
split_style_train,train,..\dataset\split_style\train\formal\jacket_formal_jacket_028.png,jacket_formal_jacket_028.png,formal,0,,formal,0,0.9411227107048035,sporty,0.030040647834539413,0.911082062870264,0.06068172678351402,True,0.9411227,0.017836733,0.030040648,0.010999916,False,False,False,False,False,False
split_style_train,train,..\dataset\split_style\train\formal\jacket_formal_jacket_030.png,jacket_formal_jacket_030.png,formal,0,,formal,0,0.9777801036834717,sporty,0.010794361121952534,0.9669857425615191,0.02247050404548645,True,0.9777801,0.00562562,0.010794361,0.0058000092,False,False,False,False,False,False
split_style_train,train,..\dataset\split_style\train\formal\jacket_formal_jacket_031.png,jacket_formal_jacket_031.png,formal,0,,formal,0,0.9744274020195007,sporty,0.010588208213448524,0.9638391938060522,0.025905229151248932,True,0.9744274,0.009198116,0.010588208,0.005786291,False,False,False,False,False,False
