source,split,filename,image_path,true_style,was_manually_reviewed,review_decision,manual_label_names,manual_notes,label_formal,label_gothic,label_sporty,label_streetwear,label_count
split_style_train,train,jacket_formal_jacket_001.png,..\dataset\split_style\train\formal\jacket_formal_jacket_001.png,formal,False,not_reviewed,,,1,0,0,0,1
split_style_train,train,jacket_formal_jacket_003.png,..\dataset\split_style\train\formal\jacket_formal_jacket_003.png,formal,False,not_reviewed,,,1,0,0,0,1
split_style_train,train,jacket_formal_jacket_004.png,..\dataset\split_style\train\formal\jacket_formal_jacket_004.png,formal,False,not_reviewed,,,1,0,0,0,1
split_style_train,train,jacket_formal_jacket_005.png,..\dataset\split_style\train\formal\jacket_formal_jacket_005.png,formal,False,not_reviewed,,,1,0,0,0,1
split_style_train,train,jacket_formal_jacket_006.png,..\dataset\split_style\train\formal\jacket_formal_jacket_006.png,formal,False,not_reviewed,,,1,0,0,0,1
split_style_train,train,jacket_formal_jacket_010.png,..\dataset\split_style\train\formal\jacket_formal_jacket_010.png,formal,False,not_reviewed,,,1,0,0,0,1
split_style_train,train,jacket_formal_jacket_011.png,..\dataset\split_style\train\formal\jacket_formal_jacket_011.png,formal,False,not_reviewed,,,1,0,0,0,1
split_style_train,train,jacket_formal_jacket_013.png,..\dataset\split_style\train\formal\jacket_formal_jacket_013.png,formal,False,not_reviewed,,,1,0,0,0,1
split_style_train,train,jacket_formal_jacket_014.png,..\dataset\split_style\train\formal\jacket_formal_jacket_014.png,formal,False,not_reviewed,,,1,0,0,0,1
split_style_train,train,jacket_formal_jacket_015.png,..\dataset\split_style\train\formal\jacket_formal_jacket_015.png,formal,True,keep_single_label,formal,Tuxedo/velvet blazer is clearly formal. Not enough streetwear influence.,1,0,0,0,1
split_style_train,train,jacket_formal_jacket_016.png,..\dataset\split_style\train\formal\jacket_formal_jacket_016.png,formal,False,not_reviewed,,,1,0,0,0,1
split_style_train,train,jacket_formal_jacket_017.png,..\dataset\split_style\train\formal\jacket_formal_jacket_017.png,formal,True,add_second_label,formal + gothic,"Formal blazer, but dark patterned fabric gives it a gothic/formal look. Not streetwear.",1,1,0,0,2
split_style_train,train,jacket_formal_jacket_019.png,..\dataset\split_style\train\formal\jacket_formal_jacket_019.png,formal,True,add_second_label,formal + gothic,"Formal blazer, but the dark patterned fabric gives it a gothic/formal look. Not streetwear.",1,1,0,0,2
split_style_train,train,jacket_formal_jacket_020.png,..\dataset\split_style\train\formal\jacket_formal_jacket_020.png,formal,False,not_reviewed,,,1,0,0,0,1
split_style_train,train,jacket_formal_jacket_022.png,..\dataset\split_style\train\formal\jacket_formal_jacket_022.png,formal,False,not_reviewed,,,1,0,0,0,1
split_style_train,train,jacket_formal_jacket_026.png,..\dataset\split_style\train\formal\jacket_formal_jacket_026.png,formal,False,not_reviewed,,,1,0,0,0,1
