review_priority,review_pair,source,split,filename,image_path,true_style,predicted_style,second_style,suggested_second_label,top_confidence,second_confidence,confidence_margin,loss,wrong_prediction,high_loss,low_margin,low_confidence,manual_formal,manual_gothic,manual_sporty,manual_streetwear,review_decision,manual_notes
A_high,gothic + streetwear,style_extra,style_extra,streetwear_pants_extra_006.png,..\dataset\style_extra\streetwear\pants\streetwear_pants_extra_006.png,streetwear,gothic,streetwear,gothic,0.34349483251571655,0.3182520866394043,0.025242745876312256,1.144911527633667,True,True,True,True,0,0,0,1,,
A_high,gothic + streetwear,split_style_train,train,tshirt_streetwear_tshirt_006.png,..\dataset\split_style\train\streetwear\tshirt_streetwear_tshirt_006.png,streetwear,gothic,streetwear,gothic,0.7812087535858154,0.19009293615818024,0.5911158174276352,1.6602421998977661,True,True,False,False,0,0,0,1,,
A_high,gothic + streetwear,split_style_train,train,pants_gothic_pants_029.png,..\dataset\split_style\train\gothic\pants_gothic_pants_029.png,gothic,streetwear,gothic,streetwear,0.5961130857467651,0.29746559262275696,0.2986474931240082,1.2124567031860352,True,True,False,True,0,1,0,0,,
A_high,gothic + streetwear,split_style_train,train,shoes_gothic_shoes_028.png,..\dataset\split_style\train\gothic\shoes_gothic_shoes_028.png,gothic,streetwear,gothic,streetwear,0.43742433190345764,0.36860063672065735,0.06882369518280029,0.9980415105819702,True,False,True,True,0,1,0,0,,
A_high,gothic + streetwear,split_style_train,train,shoes_streetwear_shoes_018.png,..\dataset\split_style\train\streetwear\shoes_streetwear_shoes_018.png,streetwear,gothic,streetwear,gothic,0.41953805088996887,0.3706358075141907,0.0489022433757782,0.9925353527069092,True,False,True,True,0,0,0,1,,
A_high,gothic + streetwear,split_style_train,train,pants_gothic_pants_047.png,..\dataset\split_style\train\gothic\pants_gothic_pants_047.png,gothic,gothic,streetwear,streetwear,0.4255090653896332,0.3041250705718994,0.12138399481773376,0.8544690608978271,False,False,True,True,0,1,0,0,,
A_high,gothic + streetwear,style_extra,style_extra,streetwear_shoes_extra_004.png,..\dataset\style_extra\streetwear\shoes\streetwear_shoes_extra_004.png,streetwear,streetwear,gothic,gothic,0.4407307505607605,0.32074975967407227,0.11998099088668823,0.8193211555480957,False,False,True,True,0,0,0,1,,
A_high,gothic + streetwear,split_style_train,train,jacket_gothic_jacket_038.png,..\dataset\split_style\train\gothic\jacket_gothic_jacket_038.png,gothic,gothic,streetwear,streetwear,0.45910975337028503,0.3095109760761261,0.14959877729415894,0.778465986251831,False,False,True,True,0,1,0,0,,
A_high,gothic + streetwear,split_style_train,train,jacket_streetwear_jacket_028.png,..\dataset\split_style\train\streetwear\jacket_streetwear_jacket_028.png,streetwear,streetwear,gothic,gothic,0.4683707356452942,0.26950597763061523,0.19886475801467896,0.7584950923919678,False,False,True,True,0,0,0,1,,
A_high,gothic + streetwear,style_extra,style_extra,streetwear_jacket_extra_012.png,..\dataset\style_extra\streetwear\jacket\streetwear_jacket_extra_012.png,streetwear,streetwear,gothic,gothic,0.5045598149299622,0.42535972595214844,0.07920008897781372,0.6840688586235046,False,False,True,True,0,0,0,1,,
A_high,sporty + streetwear,style_extra,style_extra,sporty_jacket_extra_003.png,..\dataset\style_extra\sporty\jacket\sporty_jacket_extra_003.png,sporty,streetwear,sporty,streetwear,0.4361425042152405,0.2977307438850403,0.1384117603302002,1.2115657329559326,True,True,True,True,0,0,1,0,,
A_high,sporty + streetwear,split_style_train,train,pants_sporty_pants_046.png,..\dataset\split_style\train\sporty\pants_sporty_pants_046.png,sporty,streetwear,sporty,streetwear,0.4734081029891968,0.3116745948791504,0.1617335081100464,1.1657955646514893,True,True,True,True,0,0,1,0,,
A_high,sporty + streetwear,style_extra,style_extra,sporty_jacket_extra_006.png,..\dataset\style_extra\sporty\jacket\sporty_jacket_extra_006.png,sporty,streetwear,sporty,streetwear,0.3740032911300659,0.3131096661090851,0.060893625020980835,1.1612017154693604,True,True,True,True,0,0,1,0,,
A_high,sporty + streetwear,split_style_train,train,pants_sporty_pants_003.png,..\dataset\split_style\train\sporty\pants_sporty_pants_003.png,sporty,streetwear,sporty,streetwear,0.3785039782524109,0.32332631945610046,0.055177658796310425,1.1290931701660156,True,True,True,True,0,0,1,0,,
A_high,sporty + streetwear,split_style_train,train,shoes_streetwear_shoes_038.png,..\dataset\split_style\train\streetwear\shoes_streetwear_shoes_038.png,streetwear,sporty,streetwear,sporty,0.4167827367782593,0.343036413192749,0.07374632358551025,1.0699186325073242,True,True,True,True,0,0,0,1,,
A_high,sporty + streetwear,split_style_train,train,shoes_streetwear_shoes_004.png,..\dataset\split_style\train\streetwear\shoes_streetwear_shoes_004.png,streetwear,sporty,streetwear,sporty,0.527405321598053,0.3500339686870575,0.17737135291099548,1.04972505569458,True,True,True,True,0,0,0,1,,
A_high,sporty + streetwear,split_style_train,train,shoes_streetwear_shoes_027.png,..\dataset\split_style\train\streetwear\shoes_streetwear_shoes_027.png,streetwear,sporty,streetwear,sporty,0.7480613589286804,0.18273954093456268,0.5653218179941177,1.6996934413909912,True,True,False,False,0,0,0,1,,
A_high,sporty + streetwear,split_style_train,train,shoes_streetwear_shoes_026.png,..\dataset\split_style\train\streetwear\shoes_streetwear_shoes_026.png,streetwear,sporty,streetwear,sporty,0.5574861168861389,0.2709782123565674,0.28650790452957153,1.305716872215271,True,True,False,True,0,0,0,1,,
A_high,sporty + streetwear,style_extra,style_extra,sporty_jacket_extra_009.png,..\dataset\style_extra\sporty\jacket\sporty_jacket_extra_009.png,sporty,streetwear,sporty,streetwear,0.6573134660720825,0.29858097434043884,0.3587324917316437,1.2087141275405884,True,True,False,False,0,0,1,0,,
A_high,sporty + streetwear,split_style_train,train,shoes_sporty_shoes_013.png,..\dataset\split_style\train\sporty\shoes_sporty_shoes_013.png,sporty,streetwear,sporty,streetwear,0.62287837266922,0.30185404419898987,0.3210243284702301,1.1978117227554321,True,True,False,False,0,0,1,0,,
A_high,sporty + streetwear,style_extra,style_extra,sporty_shoes_extra_003.png,..\dataset\style_extra\sporty\shoes\sporty_shoes_extra_003.png,sporty,streetwear,sporty,streetwear,0.5859453678131104,0.3186335563659668,0.26731181144714355,1.1437135934829712,True,True,False,True,0,0,1,0,,
A_high,sporty + streetwear,split_style_train,train,shoes_sporty_shoes_036.png,..\dataset\split_style\train\sporty\shoes_sporty_shoes_036.png,sporty,streetwear,sporty,streetwear,0.667722225189209,0.3198137879371643,0.3479084372520447,1.1400164365768433,True,True,False,False,0,0,1,0,,
A_high,sporty + streetwear,split_style_train,train,shoes_streetwear_shoes_032.png,..\dataset\split_style\train\streetwear\shoes_streetwear_shoes_032.png,streetwear,sporty,streetwear,sporty,0.6086851358413696,0.3491351306438446,0.259550005197525,1.0522962808609009,True,True,False,False,0,0,0,1,,
A_high,sporty + streetwear,split_style_train,train,shoes_streetwear_shoes_024.png,..\dataset\split_style\train\streetwear\shoes_streetwear_shoes_024.png,streetwear,sporty,streetwear,sporty,0.4906090497970581,0.37550559639930725,0.11510345339775085,0.9794818758964539,True,False,True,True,0,0,0,1,,
A_high,sporty + streetwear,style_extra,style_extra,streetwear_shoes_extra_013.png,..\dataset\style_extra\streetwear\shoes\streetwear_shoes_extra_013.png,streetwear,sporty,streetwear,sporty,0.41544049978256226,0.3833678066730499,0.03207269310951233,0.9587603807449341,True,False,True,True,0,0,0,1,,
